epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3307.62,1.6218,1.21479,1.07584,0.27374,0.22288,0.21744,0.08581,2.32844,1.60698,1.45917,0.000284849,0.000284849,0.000284849
136,3330.66,1.59877,1.18517,1.06364,0.26778,0.21243,0.20768,0.08245,2.35956,1.64293,1.46296,0.000274534,0.000274534,0.000274534
137,3353.31,1.66747,1.27614,1.09059,0.27523,0.21914,0.21063,0.08209,2.33664,1.61722,1.46536,0.00026422,0.00026422,0.00026422
138,3376.18,1.557,1.17002,1.03345,0.29522,0.21579,0.20662,0.0783,2.32778,1.60046,1.48384,0.000253905,0.000253905,0.000253905
139,3399.95,1.44398,1.11715,1.0298,0.30449,0.21579,0.2038,0.07925,2.34254,1.61812,1.4788,0.00024359,0.00024359,0.00024359
140,3424.43,1.64306,1.20277,1.07197,0.29374,0.20988,0.20495,0.08062,2.3837,1.62917,1.46012,0.000233276,0.000233276,0.000233276
141,3448.08,1.55757,1.13282,1.04444,0.30411,0.21579,0.21362,0.08067,2.36114,1.61609,1.44619,0.000222961,0.000222961,0.000222961
142,3472.19,1.67761,1.23982,1.07272,0.31821,0.21579,0.22047,0.08439,2.35302,1.58084,1.43956,0.000212647,0.000212647,0.000212647
143,3495.05,1.53204,1.08895,1.05038,0.29817,0.22632,0.22492,0.08576,2.36039,1.56266,1.45211,0.000202332,0.000202332,0.000202332
144,3520.48,1.58471,1.17404,1.06799,0.34822,0.19474,0.22426,0.08156,2.38241,1.56506,1.46922,0.000192018,0.000192018,0.000192018
145,3545.75,1.56518,1.14563,1.04945,0.31136,0.21579,0.22254,0.0829,2.38984,1.57785,1.46394,0.000181703,0.000181703,0.000181703
146,3569.42,1.59753,1.19466,1.06424,0.31627,0.22105,0.22309,0.08244,2.36293,1.60412,1.44057,0.000171388,0.000171388,0.000171388
147,3592.55,1.53056,1.10546,1.03012,0.31459,0.21053,0.21721,0.08221,2.35176,1.62346,1.42812,0.000161074,0.000161074,0.000161074
148,3616.49,1.68899,1.19208,1.08567,0.35901,0.2,0.22631,0.08523,2.36478,1.52866,1.45652,0.000150759,0.000150759,0.000150759
149,3640.9,1.51067,1.09371,1.03594,0.34333,0.19474,0.22583,0.08566,2.37463,1.51853,1.46876,0.000140445,0.000140445,0.000140445
150,3663.95,1.51049,1.12211,1.03733,0.30756,0.21053,0.22522,0.08525,2.38488,1.53786,1.46148,0.00013013,0.00013013,0.00013013
151,3688.31,1.49514,1.18461,1.05673,0.35474,0.18947,0.21698,0.08097,2.36703,1.58534,1.45904,0.000119816,0.000119816,0.000119816
152,3711.78,1.50241,1.14985,1.0598,0.34657,0.18947,0.2041,0.07868,2.36974,1.65946,1.45946,0.000109501,0.000109501,0.000109501
153,3738.14,1.54463,1.22051,1.10228,0.3701,0.18947,0.20928,0.07683,2.39104,1.66731,1.47224,9.91865e-05,9.91865e-05,9.91865e-05
154,3762.55,1.54564,1.16265,1.06202,0.35979,0.18421,0.21288,0.07733,2.39387,1.60723,1.48569,8.88719e-05,8.88719e-05,8.88719e-05
155,3786.87,1.44594,1.12364,1.05001,0.37187,0.18421,0.21799,0.07732,2.38699,1.57866,1.48173,7.85574e-05,7.85574e-05,7.85574e-05
156,3810.02,1.57221,1.18689,1.05466,0.37759,0.18421,0.21639,0.07888,2.37444,1.59795,1.46839,6.82428e-05,6.82428e-05,6.82428e-05
157,3833.33,1.45817,1.10209,1.04031,0.31089,0.20526,0.22096,0.07905,2.37591,1.60645,1.46036,5.79283e-05,5.79283e-05,5.79283e-05
158,3856.88,1.47893,1.19465,1.03894,0.31054,0.20526,0.22176,0.07992,2.38377,1.60938,1.45624,4.76137e-05,4.76137e-05,4.76137e-05
159,3881.28,1.56569,1.1816,1.07358,0.31243,0.20526,0.22037,0.07933,2.3735,1.59915,1.45672,3.72991e-05,3.72991e-05,3.72991e-05
160,3904.44,1.38005,1.00508,1.02264,0.37938,0.18421,0.21764,0.07891,2.37918,1.60771,1.45222,2.69846e-05,2.69846e-05,2.69846e-05
